,ReportDate,TotalCases,CaseDelta,TotalTests,TestsDelta,PosTestPercent,PosPercentDiff,NegativeTests,NegDelta,bedsTotal,bedsAcute,bedsICU,bedsDelta,total_hospitalized,hospitalizedDelta,total_released,releasedDelta,caseAfrAmer,caseWhite,caseHispanic,caseAsian,caseOther,caseNotAVail,deaths,deathsDelta,deathDOD,deathAfrAmer,deathWhite,deathHispanic,pDeath70to79,pDeath80plus,pDeathAgeUnknown,pDeathGenMale,pDeathGenFemale,pDeathGenUnkn,pDeathAfrAmer,pDeathWhite,pDeathHispanic,pDeathAsian,pDeathOther,pDeathNotAvail
0,03/04/2020 03:00:00 PM,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,03/05/2020 03:00:00 PM,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,03/06/2020 03:00:00 PM,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,03/07/2020 03:00:00 PM,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,03/08/2020 02:00:00 PM,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,03/09/2020 02:00:00 PM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,03/10/2020 02:00:00 PM,9,3,1.0,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,03/11/2020 02:00:00 PM,12,3,8.0,7.0,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,03/12/2020 02:00:00 PM,12,0,21.0,13.0,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,03/13/2020 02:00:00 PM,15,3,44.0,23.0,14.54,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,03/14/2020 02:00:00 PM,26,11,259.0,215.0,15.54,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,03/15/2020 02:00:00 PM,31,5,397.0,138.0,16.43,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,03/16/2020 02:00:00 PM,37,6,482.0,85.0,17.09,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,03/17/2020 02:00:00 PM,57,20,808.0,326.0,18.3,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,03/18/2020 02:00:00 PM,85,28,1195.0,387.0,19.16,,,,,,,,14.0,14.0,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
15,03/19/2020 02:00:00 PM,107,22,1625.0,430.0,19.65,,,,,,,,14.0,0.0,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,
16,03/20/2020 02:00:00 PM,149,42,2645.0,1020.0,20.21,,,,,,,,15.0,1.0,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,
17,03/21/2020 02:00:00 PM,190,41,3715.0,1070.0,20.99,,,,,,,,16.0,1.0,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,
18,03/22/2020 02:00:00 PM,244,54,4780.0,1065.0,21.91,,,,,,,,26.0,10.0,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,
19,03/23/2020 02:00:00 PM,288,44,5638.0,858.0,22.82,,,,,,,,34.0,8.0,,,,,,,,,3.0,0.0,0.0,,,,,,,,,,,,,,,
20,03/24/2020 02:00:00 PM,349,61,6593.0,955.0,23.05,,,,,,,,50.0,16.0,,,,,,,,,3.0,0.0,1.0,,,,,,,,,,,,,,,
21,03/25/2020 02:00:00 PM,423,74,7713.0,1120.0,23.8,,,,,,,,67.0,17.0,,,,,,,,,4.0,1.0,0.0,,,,,,,,,,,,,,,
22,03/26/2020 02:00:00 PM,580,157,11054.0,3341.0,25.11,,,,108.0,68.0,40.0,108.0,132.0,65.0,,,,,,,,,4.0,0.0,2.0,,,,,,,,,,,,,,,
23,03/27/2020 02:00:00 PM,774,194,12874.0,1820.0,26.23,,9988.0,,146.0,76.0,70.0,38.0,173.0,41.0,25.0,,,,,,,,5.0,1.0,3.0,,,,,,,,,,,,,,,
24,03/28/2020 02:00:00 PM,992,218,15949.0,3075.0,26.6,,11516.0,1528.0,185.0,113.0,72.0,39.0,226.0,53.0,32.0,7.0,,,,,,,5.0,0.0,7.0,,,,,,,,,,,,,,,
25,03/29/2020 02:00:00 PM,1239,247,17257.0,1308.0,26.88,,12354.0,838.0,212.0,118.0,94.0,27.0,277.0,51.0,39.0,7.0,,,,,,,10.0,5.0,7.0,,,,,,,,,,,,,,,
26,03/30/2020 02:00:00 PM,1413,174,18842.0,1585.0,26.57,,13316.0,962.0,260.0,150.0,110.0,48.0,353.0,76.0,43.0,4.0,,,,,,,15.0,5.0,11.0,,,,,,,,,,,,,,,
27,03/31/2020 02:00:00 PM,1660,247,20896.0,2054.0,26.83,0.26,14868.0,1552.0,308.0,177.0,131.0,48.0,429.0,76.0,53.0,10.0,,,,,,,18.0,3.0,8.0,,,,,,,,,,,,,,,
28,04/01/2020 02:00:00 PM,1985,325,23841.0,2945.0,26.52,-0.31,17233.0,2365.0,402.0,257.0,145.0,94.0,522.0,93.0,69.0,16.0,,,,,,,31.0,13.0,8.0,,,,,,,,,,,,,,,
29,04/02/2020 02:00:00 PM,2331,346,26377.0,2536.0,25.6,-0.92,18890.0,1657.0,,,,,582.0,60.0,81.0,12.0,,,,,,,36.0,5.0,11.0,,,,,,,,,,,,,,,
30,04/03/2020 02:00:00 PM,2758,427,29413.0,3036.0,25.44,-0.16,20932.0,2042.0,447.0,263.0,184.0,447.0,664.0,82.0,159.0,78.0,,,,,,,42.0,6.0,19.0,,,,,,,,,,,,,,,
31,04/04/2020 02:00:00 PM,3125,367,32042.0,2629.0,24.9,-0.54,22485.0,1553.0,605.0,369.0,236.0,158.0,821.0,157.0,159.0,0.0,,,,,,,53.0,11.0,16.0,,,,,,,,,,,,,,,
32,04/05/2020 02:00:00 PM,3609,484,35443.0,3401.0,24.78,-0.12,24728.0,2243.0,559.0,305.0,254.0,-46.0,936.0,115.0,159.0,0.0,,,,,,,67.0,14.0,23.0,,,,,,,,,,,,,,,
33,04/06/2020 02:00:00 PM,4045,436,38076.0,2633.0,24.75,-0.02,25572.0,844.0,770.0,498.0,272.0,211.0,1059.0,123.0,184.0,25.0,1521.0,1207.0,,74.0,321.0,922.0,91.0,24.0,16.0,5.0,14.0,,,,,,,,,,,,,
34,04/07/2020 02:00:00 PM,4371,326,39480.0,1404.0,24.59,-0.17,27256.0,1684.0,801.0,499.0,302.0,31.0,1106.0,47.0,288.0,104.0,,,,,,,103.0,12.0,21.0,,,,,,,,,,,,,,,
35,04/08/2020 02:00:00 PM,5529,1158,47416.0,7936.0,24.32,-0.27,32933.0,5677.0,848.0,539.0,309.0,47.0,1210.0,104.0,365.0,77.0,2064.0,1540.0,,122.0,449.0,1354.0,124.0,21.0,29.0,55.0,39.0,,,,,,,,,,,,,
36,04/09/2020 02:00:00 PM,6185,656,50571.0,3155.0,24.7,0.38,35344.0,2411.0,924.0,581.0,343.0,76.0,1348.0,138.0,376.0,11.0,2304.0,1694.0,,136.0,544.0,1507.0,138.0,14.0,29.0,61.0,45.0,,,,,,,,,,,,,
37,04/10/2020 02:00:00 PM,6968,783,54495.0,3924.0,24.2,-0.5,37480.0,2136.0,918.0,560.0,358.0,-6.0,1413.0,65.0,397.0,21.0,2599.0,1883.0,,153.0,643.0,1690.0,171.0,33.0,34.0,77.0,58.0,,,,,,,,,,,,,
38,04/11/2020 02:00:00 PM,7694,726,58127.0,3632.0,24.44,0.23,39544.0,2064.0,1020.0,641.0,379.0,102.0,1709.0,296.0,431.0,34.0,2988.0,2145.0,,177.0,806.0,1578.0,206.0,35.0,42.0,91.0,72.0,,,,,,,,,,,,,
39,04/12/2020 02:00:00 PM,8225,531,60302.0,2175.0,24.1,-0.34,41539.0,1995.0,1019.0,633.0,386.0,-1.0,1860.0,151.0,456.0,25.0,3202.0,2305.0,,190.0,861.0,1667.0,235.0,29.0,31.0,104.0,83.0,,,,,,,,,,,,,
40,04/13/2020 02:00:00 PM,8936,711,64106.0,3804.0,24.23,0.13,42815.0,1276.0,1071.0,657.0,414.0,52.0,1975.0,115.0,603.0,147.0,3512.0,2547.0,0.0,211.0,961.0,1705.0,262.0,27.0,43.0,120.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
41,04/14/2020 02:00:00 PM,9472,536,65689.0,1583.0,23.35,-0.88,44261.0,1446.0,1079.0,631.0,448.0,8.0,2122.0,147.0,607.0,4.0,,,,,,,302.0,40.0,36.0,,,,,,,,,,,,,,,
42,04/15/2020 02:00:00 PM,10032,560,68095.0,2406.0,23.25,-0.1,45731.0,1470.0,1156.0,718.0,438.0,77.0,2231.0,109.0,607.0,0.0,3724.0,2425.0,1075.0,230.0,357.0,2221.0,349.0,47.0,46.0,139.0,109.0,13.0,12.0,26.0,14.0,31.0,33.0,,13.0,34.0,1.0,1.0,1.0,14.0
43,04/16/2020 02:00:00 PM,10784,752,71673.0,3578.0,23.26,0.01,48059.0,2328.0,1219.0,788.0,431.0,63.0,2451.0,220.0,736.0,129.0,3978.0,2535.0,1180.0,239.0,376.0,2476.0,392.0,43.0,31.0,153.0,126.0,15.0,12.0,30.0,13.0,34.0,33.0,,13.0,39.0,0.0,1.0,1.0,13.0
44,04/17/2020 02:00:00 PM,11572,788,75112.0,3439.0,22.81,-0.44,50437.0,2378.0,1201.0,762.0,439.0,-18.0,2612.0,161.0,736.0,0.0,4301.0,2681.0,1357.0,252.0,429.0,2552.0,425.0,33.0,41.0,166.0,137.0,17.0,13.0,33.0,11.0,34.0,35.0,,16.0,40.0,0.0,1.0,1.0,11.0
45,04/18/2020 02:00:00 PM,12308,736,78888.0,3776.0,22.7,-0.12,53062.0,2625.0,1288.0,800.0,488.0,87.0,2757.0,145.0,771.0,35.0,4557.0,2869.0,1489.0,266.0,458.0,2669.0,463.0,38.0,39.0,183.0,148.0,20.0,11.0,33.0,11.0,34.0,37.0,0.0,18.0,40.0,0.0,1.0,1.0,11.0
46,04/19/2020 02:00:00 PM,12830,522,81627.0,2739.0,22.57,-0.13,55061.0,1999.0,1289.0,791.0,498.0,1.0,2886.0,129.0,914.0,143.0,4855.0,3037.0,1639.0,276.0,505.0,2518.0,486.0,23.0,44.0,196.0,159.0,21.0,10.0,27.0,10.0,30.0,32.0,0.0,16.0,34.0,0.0,1.0,0.0,11.0
